


LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/06 09:08:50:850|null|tuantm14|14.254.195.155|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/06 09:26:55:2655|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/06 09:27:04:274|null|hungnn|113.191.249.100|Home/Login|1|0



LOGOUT|http://dannguyen.quochoi.vn/Home/Logout/:80|KNCT|2020/04/06 10:16:39:1639|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/06 10:28:30:2830|null|kienpt|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login/:80|KNCT|2020/04/06 02:11:41:1141|null|kienpt|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/06 02:30:37:3037|null|nhungph|113.190.16.38|Home/Login|0|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/06 02:30:46:3046|null|nhungph|113.190.16.38|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login/:80|KNCT|2020/04/06 02:31:03:313|null|kienpt|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login/:80|KNCT|2020/04/06 03:15:57:1557|null|hangnv|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login/:80|KNCT|2020/04/06 04:31:13:3113|null|hangnv|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/06 04:36:00:360|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGOUT|http://dannguyen.quochoi.vn/Home/Logout/:80|KNCT|2020/04/06 05:24:23:2423|null|anhvtl|113.191.249.100|Home/Login|1|0
