


LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/21 08:46:05:465|null|quangngai01|14.167.32.180|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/21 09:18:28:1828|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGOUT|http://dannguyen.quochoi.vn/Home/Logout/:80|KNCT|2020/04/21 09:43:03:433|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/21 03:52:07:527|null|thoangntt|14.252.159.120|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/21 03:56:14:5614|null|thoangntt|14.252.159.120|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/21 04:13:25:1325|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGOUT|http://dannguyen.quochoi.vn/Home/Logout/:80|KNCT|2020/04/21 04:18:04:184|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/21 04:22:02:222|null|quynn|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/21 04:32:27:3227|null|trieucm|14.252.159.120|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/21 05:13:35:1335|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGOUT|http://dannguyen.quochoi.vn/Home/Logout/:80|KNCT|2020/04/21 05:39:58:3958|null|anhvtl|113.191.249.100|Home/Login|1|0
