


LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/06 09:19:39:1939|null|hochiminh02|14.169.42.103|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/06 09:21:46:2146|null|hungnn|113.191.249.100|Home/Login|1|0



LOGOUT|http://dannguyen.quochoi.vn/Home/Logout/:80|KNCT|2020/05/06 10:25:03:253|null|hungnn|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/06 10:25:14:2514|null|tienptm|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/06 10:25:57:2557|null|quangngai01|14.167.32.180|Home/Login|1|0



LOGOUT|http://dannguyen.quochoi.vn/Home/Logout/:80|KNCT|2020/05/06 10:28:14:2814|null|tienptm|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/06 10:36:46:3646|null|nguyenthithuytrang|113.161.224.111|Home/Login|1|0



LOGOUT|http://dannguyen.quochoi.vn/Home/Logout/:80|KNCT|2020/05/06 10:37:55:3755|null|nguyenthithuytrang|113.161.224.111|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/06 10:38:36:3836|null|nguyenthithuytrang|113.161.224.111|Home/Login|0|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/06 10:38:46:3846|null|nguyenthithuytrang|113.161.224.111|Home/Login|0|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/06 10:39:10:3910|null|nguyenthithuytrang|113.161.224.111|Home/Login|1|0



LOGOUT|http://dannguyen.quochoi.vn/Home/Logout/:80|KNCT|2020/05/06 10:40:21:4021|null|nguyenthithuytrang|113.161.224.111|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/06 10:40:31:4031|null|nguyenthithuytrang|113.161.224.111|Home/Login|0|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/06 10:40:42:4042|null|nguyenthithuytrang|113.161.224.111|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/06 02:04:34:434|null|hungnn|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/06 02:33:41:3341|null|kienpt|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/06 03:02:25:225|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/06 03:14:02:142|null|quangngai01|14.167.32.180|Home/Login|1|0



LOGOUT|http://dannguyen.quochoi.vn/Home/Logout/:80|KNCT|2020/05/06 03:52:46:5246|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/06 03:55:40:5540|null|kienpt|113.191.249.100|Home/Login|1|0
