


LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/15 09:32:42:3242|null|thanhtt|113.182.175.206|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login/:80|KNCT|2020/05/15 09:44:11:4411|null|hangnv|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/15 11:29:41:2941|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGOUT|http://dannguyen.quochoi.vn/Home/Logout/:80|KNCT|2020/05/15 11:54:50:5450|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/15 02:47:11:4711|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/15 03:11:43:1143|null|quangngai01|14.167.32.180|Home/Login|1|0



LOGOUT|http://dannguyen.quochoi.vn/Home/Logout/:80|KNCT|2020/05/15 03:35:45:3545|null|quangngai01|14.167.32.180|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/15 04:46:56:4656|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGOUT|http://dannguyen.quochoi.vn/Home/Logout/:80|KNCT|2020/05/15 05:21:58:2158|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/05/15 05:22:15:2215|null|anhvtl|113.191.249.100|Home/Login|1|0
